18/09 08:32:45:082 Command Routing started
18/09 08:32:45:105 Starting process session
18/09 08:32:47:038 Total 0 instances are started
18/09 08:32:47:039 Total 1 instances are added
18/09 08:33:13:888 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.89:7676]. - cause: java.net.ConnectException: Connection timed out: connect
18/09 08:33:13:889 Consumer was closed, reconnect.
18/09 08:33:13:993 Total 0 instances are started
18/09 08:33:13:994 Total 1 instances are added
18/09 08:34:26:996 Command Routing started
18/09 08:34:27:023 Starting process session
18/09 08:34:27:146 Total 0 instances are started
18/09 08:34:27:148 Total 1 instances are added
18/09 08:34:32:099 Close queue connection pool.
18/09 08:34:32:117 End of process session
18/09 08:34:32:180 Command Routing stopped
18/09 08:34:34:019 Command Routing started
18/09 08:34:34:043 Starting process session
18/09 08:34:34:159 Total 0 instances are started
18/09 08:34:34:160 Total 1 instances are added
18/09 08:35:10:174 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:175 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:176 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:177 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:178 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:179 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:180 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:181 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:182 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:183 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:185 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:186 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:187 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:188 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:188 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:190 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:191 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:192 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:193 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:194 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:195 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:196 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:197 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:198 84922000514: SMSC - SMSC.SEND_SMS
