11/09 09:35:50:065 Command Logs started
11/09 09:35:50:180 Starting process session
11/09 09:35:50:571 Total 0 instances are started
11/09 09:35:50:572 Total 1 instances are added
11/09 09:36:30:631 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:36:30:632 Consumer was closed, reconnect.
11/09 09:36:30:736 Total 0 instances are started
11/09 09:36:30:737 Total 1 instances are added
11/09 09:36:51:808 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:36:51:809 Consumer was closed, reconnect.
11/09 09:36:51:912 Total 0 instances are started
11/09 09:36:51:913 Total 1 instances are added
11/09 09:37:12:939 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:37:12:939 Consumer was closed, reconnect.
11/09 09:37:13:044 Total 0 instances are started
11/09 09:37:13:045 Total 1 instances are added
11/09 09:38:09:375 Command Logs started
11/09 09:38:09:784 Starting process session
11/09 09:38:09:892 Total 0 instances are started
11/09 09:38:09:893 Total 1 instances are added
11/09 10:15:09:361 0 records were writen to database.
11/09 10:15:19:367 0 records were writen to database.
11/09 10:15:29:369 0 records were writen to database.
11/09 10:15:39:377 0 records were writen to database.
11/09 10:15:49:386 0 records were writen to database.
11/09 10:15:59:394 0 records were writen to database.
11/09 10:16:09:402 0 records were writen to database.
11/09 10:16:19:405 0 records were writen to database.
11/09 10:16:29:406 0 records were writen to database.
11/09 10:16:39:415 0 records were writen to database.
11/09 10:16:49:420 0 records were writen to database.
11/09 10:16:59:423 0 records were writen to database.
11/09 10:17:09:429 0 records were writen to database.
11/09 10:17:19:438 0 records were writen to database.
11/09 10:17:29:440 0 records were writen to database.
11/09 10:17:39:449 0 records were writen to database.
11/09 10:17:49:454 0 records were writen to database.
11/09 10:17:59:455 0 records were writen to database.
11/09 10:18:09:460 0 records were writen to database.
11/09 10:18:19:461 0 records were writen to database.
11/09 10:18:29:467 0 records were writen to database.
11/09 10:18:39:473 0 records were writen to database.
11/09 10:18:49:481 0 records were writen to database.
11/09 10:18:59:491 0 records were writen to database.
11/09 10:19:09:495 0 records were writen to database.
11/09 10:19:19:498 0 records were writen to database.
11/09 10:19:29:504 0 records were writen to database.
11/09 10:19:39:511 0 records were writen to database.
11/09 10:19:49:521 0 records were writen to database.
11/09 10:19:59:531 0 records were writen to database.
11/09 10:20:09:534 0 records were writen to database.
11/09 10:20:19:539 0 records were writen to database.
11/09 10:20:29:541 0 records were writen to database.
11/09 10:20:39:551 0 records were writen to database.
11/09 10:20:49:558 0 records were writen to database.
11/09 10:20:59:568 0 records were writen to database.
11/09 10:21:09:571 0 records were writen to database.
11/09 10:21:19:576 0 records were writen to database.
11/09 10:21:29:584 0 records were writen to database.
11/09 10:21:39:592 0 records were writen to database.
11/09 10:21:49:598 0 records were writen to database.
11/09 10:21:59:603 0 records were writen to database.
11/09 10:22:09:608 0 records were writen to database.
11/09 10:22:19:610 0 records were writen to database.
11/09 10:22:29:613 0 records were writen to database.
11/09 10:22:39:615 0 records were writen to database.
11/09 10:22:49:623 0 records were writen to database.
11/09 10:22:59:632 0 records were writen to database.
11/09 10:23:09:643 0 records were writen to database.
11/09 10:23:19:648 0 records were writen to database.
11/09 10:23:29:656 0 records were writen to database.
11/09 10:23:39:663 0 records were writen to database.
11/09 10:23:49:668 0 records were writen to database.
11/09 10:23:59:673 0 records were writen to database.
11/09 10:24:09:674 0 records were writen to database.
11/09 10:25:04:318 Command Logs started
11/09 10:25:04:690 Starting process session
11/09 10:25:05:177 Total 0 instances are started
11/09 10:25:05:177 Total 1 instances are added
11/09 10:25:15:194 0 records were writen to database.
11/09 10:25:25:197 0 records were writen to database.
11/09 10:25:35:207 0 records were writen to database.
11/09 10:25:45:213 0 records were writen to database.
11/09 10:25:55:221 0 records were writen to database.
11/09 10:26:05:229 0 records were writen to database.
11/09 10:26:15:235 0 records were writen to database.
11/09 10:26:25:237 0 records were writen to database.
11/09 10:26:35:240 0 records were writen to database.
11/09 10:26:45:243 0 records were writen to database.
11/09 10:26:55:253 0 records were writen to database.
11/09 10:27:05:257 0 records were writen to database.
11/09 10:27:39:749 Command Logs started
11/09 10:27:40:176 Starting process session
11/09 10:27:41:112 Total 0 instances are started
11/09 10:27:41:113 Total 1 instances are added
11/09 10:27:51:123 0 records were writen to database.
11/09 10:28:01:132 0 records were writen to database.
11/09 10:28:11:141 0 records were writen to database.
11/09 10:28:21:151 0 records were writen to database.
11/09 10:28:31:159 0 records were writen to database.
11/09 10:28:41:163 0 records were writen to database.
11/09 10:28:51:172 0 records were writen to database.
11/09 10:29:01:177 0 records were writen to database.
11/09 10:29:11:185 0 records were writen to database.
11/09 10:29:21:192 0 records were writen to database.
11/09 10:29:31:200 0 records were writen to database.
11/09 10:29:41:210 0 records were writen to database.
11/09 10:29:51:212 0 records were writen to database.
11/09 10:30:01:216 0 records were writen to database.
11/09 10:30:11:220 0 records were writen to database.
11/09 10:30:21:231 0 records were writen to database.
11/09 10:30:31:240 0 records were writen to database.
11/09 10:30:41:249 0 records were writen to database.
11/09 10:30:51:257 0 records were writen to database.
11/09 10:31:01:261 0 records were writen to database.
11/09 10:31:11:263 0 records were writen to database.
11/09 10:31:21:278 1 records were writen to database.
11/09 10:31:31:280 0 records were writen to database.
11/09 10:31:41:284 0 records were writen to database.
11/09 10:31:51:295 0 records were writen to database.
11/09 10:32:01:297 0 records were writen to database.
11/09 10:32:11:301 0 records were writen to database.
11/09 10:32:21:310 0 records were writen to database.
11/09 10:32:31:319 0 records were writen to database.
11/09 10:32:41:328 0 records were writen to database.
11/09 10:32:51:333 0 records were writen to database.
11/09 10:33:01:338 0 records were writen to database.
11/09 10:33:11:349 0 records were writen to database.
11/09 10:33:21:353 0 records were writen to database.
11/09 10:33:31:356 0 records were writen to database.
11/09 10:33:41:363 0 records were writen to database.
11/09 10:33:51:374 0 records were writen to database.
11/09 10:34:01:381 0 records were writen to database.
11/09 10:34:11:385 0 records were writen to database.
11/09 10:34:21:392 0 records were writen to database.
11/09 10:34:31:402 0 records were writen to database.
11/09 10:34:41:411 0 records were writen to database.
11/09 10:34:51:422 0 records were writen to database.
11/09 10:35:01:427 0 records were writen to database.
11/09 10:35:11:436 0 records were writen to database.
11/09 10:35:21:445 0 records were writen to database.
11/09 10:35:31:451 0 records were writen to database.
11/09 10:35:41:454 0 records were writen to database.
11/09 10:35:51:457 0 records were writen to database.
11/09 10:36:01:462 0 records were writen to database.
11/09 10:36:11:470 0 records were writen to database.
11/09 10:36:21:480 0 records were writen to database.
11/09 10:36:31:488 0 records were writen to database.
11/09 10:36:41:497 0 records were writen to database.
11/09 10:36:51:503 0 records were writen to database.
11/09 10:37:01:513 0 records were writen to database.
11/09 10:37:11:519 0 records were writen to database.
11/09 10:37:21:527 0 records were writen to database.
11/09 10:37:31:533 0 records were writen to database.
11/09 10:37:41:540 0 records were writen to database.
11/09 10:37:51:543 0 records were writen to database.
11/09 10:38:01:549 0 records were writen to database.
11/09 10:38:11:551 0 records were writen to database.
11/09 10:38:21:557 0 records were writen to database.
11/09 10:38:31:567 0 records were writen to database.
11/09 10:38:41:577 0 records were writen to database.
11/09 10:38:51:587 0 records were writen to database.
11/09 10:39:01:596 0 records were writen to database.
11/09 10:39:11:601 0 records were writen to database.
11/09 10:39:21:608 0 records were writen to database.
11/09 10:39:31:610 0 records were writen to database.
11/09 10:39:41:618 0 records were writen to database.
11/09 10:39:51:628 0 records were writen to database.
11/09 10:40:01:638 0 records were writen to database.
11/09 10:40:11:647 0 records were writen to database.
11/09 10:40:21:653 0 records were writen to database.
11/09 10:40:31:662 0 records were writen to database.
11/09 10:40:41:673 0 records were writen to database.
11/09 10:40:51:675 0 records were writen to database.
11/09 10:41:01:680 0 records were writen to database.
11/09 10:41:11:688 0 records were writen to database.
11/09 10:41:21:714 1 records were writen to database.
11/09 10:41:31:717 0 records were writen to database.
11/09 10:41:41:722 0 records were writen to database.
11/09 10:41:51:731 0 records were writen to database.
11/09 10:42:01:735 0 records were writen to database.
11/09 10:42:16:970 Command Logs started
11/09 10:42:17:230 Starting process session
11/09 10:42:17:649 Total 0 instances are started
11/09 10:42:17:651 Total 1 instances are added
11/09 10:42:27:658 0 records were writen to database.
11/09 10:42:37:669 0 records were writen to database.
11/09 10:42:47:673 0 records were writen to database.
11/09 10:42:57:675 0 records were writen to database.
11/09 10:43:07:680 0 records were writen to database.
11/09 10:43:17:688 0 records were writen to database.
11/09 10:43:27:698 0 records were writen to database.
11/09 10:43:37:709 0 records were writen to database.
11/09 10:43:47:716 0 records were writen to database.
11/09 10:43:57:726 0 records were writen to database.
11/09 10:44:07:731 0 records were writen to database.
11/09 10:44:17:736 0 records were writen to database.
11/09 10:44:27:738 0 records were writen to database.
11/09 10:44:37:742 0 records were writen to database.
11/09 10:44:47:748 0 records were writen to database.
11/09 10:44:57:750 0 records were writen to database.
11/09 10:45:07:752 0 records were writen to database.
11/09 10:45:17:755 0 records were writen to database.
11/09 10:45:27:765 0 records were writen to database.
11/09 10:45:37:773 0 records were writen to database.
11/09 10:45:47:778 0 records were writen to database.
11/09 10:45:57:797 1 records were writen to database.
11/09 10:46:07:801 0 records were writen to database.
11/09 10:46:17:804 0 records were writen to database.
11/09 10:46:27:813 0 records were writen to database.
11/09 10:46:37:823 0 records were writen to database.
11/09 10:46:47:836 0 records were writen to database.
11/09 10:46:57:841 0 records were writen to database.
11/09 10:47:07:843 0 records were writen to database.
11/09 10:47:17:850 0 records were writen to database.
11/09 10:47:27:858 0 records were writen to database.
11/09 10:47:37:864 0 records were writen to database.
11/09 10:47:47:872 0 records were writen to database.
11/09 10:47:57:874 0 records were writen to database.
11/09 10:48:07:880 0 records were writen to database.
11/09 10:48:17:889 0 records were writen to database.
11/09 10:48:27:895 0 records were writen to database.
11/09 10:48:37:901 0 records were writen to database.
11/09 10:48:47:907 0 records were writen to database.
11/09 10:48:57:912 0 records were writen to database.
11/09 10:49:07:919 0 records were writen to database.
11/09 10:49:17:929 0 records were writen to database.
11/09 10:49:27:935 0 records were writen to database.
11/09 10:49:37:936 0 records were writen to database.
11/09 10:49:47:939 0 records were writen to database.
11/09 10:49:57:941 0 records were writen to database.
11/09 10:50:07:949 0 records were writen to database.
11/09 10:50:17:955 0 records were writen to database.
11/09 10:50:27:958 0 records were writen to database.
11/09 10:50:37:959 0 records were writen to database.
11/09 10:50:47:961 0 records were writen to database.
11/09 10:50:57:969 0 records were writen to database.
11/09 10:51:07:979 0 records were writen to database.
11/09 10:51:17:986 0 records were writen to database.
11/09 10:51:27:996 0 records were writen to database.
11/09 10:51:37:999 0 records were writen to database.
11/09 10:51:48:008 0 records were writen to database.
11/09 10:51:58:012 0 records were writen to database.
11/09 10:52:08:016 0 records were writen to database.
11/09 10:52:18:023 0 records were writen to database.
11/09 10:52:28:032 0 records were writen to database.
11/09 10:52:38:035 0 records were writen to database.
11/09 10:52:48:044 0 records were writen to database.
11/09 11:28:06:212 Command Logs started
11/09 11:28:06:415 Starting process session
11/09 11:28:06:602 Total 0 instances are started
11/09 11:28:06:605 Total 1 instances are added
11/09 11:28:16:612 0 records were writen to database.
11/09 11:28:26:617 0 records were writen to database.
11/09 11:28:36:624 0 records were writen to database.
11/09 11:28:46:631 0 records were writen to database.
11/09 11:28:56:637 0 records were writen to database.
11/09 11:29:06:647 0 records were writen to database.
11/09 11:29:16:651 0 records were writen to database.
11/09 11:29:26:658 0 records were writen to database.
11/09 11:29:36:664 0 records were writen to database.
11/09 11:29:46:670 0 records were writen to database.
11/09 11:29:56:679 0 records were writen to database.
11/09 11:30:06:684 0 records were writen to database.
11/09 11:30:16:692 0 records were writen to database.
11/09 11:30:26:696 0 records were writen to database.
11/09 11:30:36:704 0 records were writen to database.
11/09 11:30:46:709 0 records were writen to database.
11/09 11:30:56:713 0 records were writen to database.
11/09 11:31:06:720 0 records were writen to database.
11/09 11:31:16:727 0 records were writen to database.
11/09 11:31:26:737 0 records were writen to database.
11/09 11:31:36:740 0 records were writen to database.
11/09 11:31:46:743 0 records were writen to database.
11/09 11:31:56:746 0 records were writen to database.
11/09 11:32:06:754 0 records were writen to database.
11/09 11:32:16:757 0 records were writen to database.
11/09 11:32:26:765 0 records were writen to database.
11/09 11:32:36:778 1 records were writen to database.
11/09 11:32:46:782 0 records were writen to database.
11/09 11:32:56:793 0 records were writen to database.
11/09 11:33:06:802 0 records were writen to database.
11/09 11:33:16:813 0 records were writen to database.
11/09 11:33:26:814 0 records were writen to database.
11/09 11:33:36:823 0 records were writen to database.
11/09 11:33:46:826 0 records were writen to database.
11/09 11:33:56:829 0 records were writen to database.
11/09 11:34:06:840 0 records were writen to database.
11/09 11:34:16:849 0 records were writen to database.
11/09 11:34:26:859 0 records were writen to database.
11/09 11:34:36:862 0 records were writen to database.
11/09 11:34:46:867 0 records were writen to database.
11/09 11:34:56:878 0 records were writen to database.
11/09 11:35:06:880 0 records were writen to database.
11/09 11:35:16:889 0 records were writen to database.
